	Actinobacteria1	Actinobacteria2	Alphaproteobacteria	Bacillales	Bacteroidetes	Burkholderiales	Pseudomonas	Xanthomonadaceae
OG0005353|K02012|afuA; iron(III) transport system substrate-binding protein		PA	PA					
OG0001808|K07795|tctC; putative tricarboxylic transport membrane protein		PA	PA			PA		
OG0004371|K07794|tctB; putative tricarboxylic transport membrane protein		PA	PA					
OG0001545|K07793|tctA; putative tricarboxylic transport membrane protein		PA	PA					
OG0000476||								
OG0004119|K16079|omp31; outer membrane immunogenic protein			PA				PA	
OG0001737||								
OG0004636|K03153|thiO; glycine oxidase [EC:1.4.3.19]	PA		PA					
OG0003017||								
OG0006897||								
OG0002377||								
OG0003636||								
OG0002328|K06284|abrB; transcriptional pleiotropic regulator of transition state genes								
OG0005425|K09769|uncharacterized protein			PA					
OG0001660|K09888|zapA; cell division protein ZapA								
OG0001837|K11105|cvrA; cell volume regulation protein A	PA		PA		PA	PA		
OG0005359|K01623|ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]			PA		PA	PA		
OG0001862|K08219|UMF2; MFS transporter, UMF2 family, putative MFS family transporter protein								
OG0004591|K02557|motB; chemotaxis protein MotB	PA		PA	PA		PA		
OG0006893||								
OG0001513||								
OG0002768|K09948|uncharacterized protein			PA					
OG0003670||								
OG0004644|K08602|pepF; oligoendopeptidase F [EC:3.4.24.-]			PA		PA			
OG0006894|K00808|hss; homospermidine synthase [EC:2.5.1.44]			PA			PA		
OG0005186|K09795|uncharacterized protein			PA					
OG0000776||								
OG0003112|K01209|abfA; alpha-N-arabinofuranosidase [EC:3.2.1.55]	PA		PA		PA	PA		PA
OG0001467|K05813|ugpB; sn-glycerol 3-phosphate transport system substrate-binding protein			PA				PA	
OG0003701||								
OG0002476||								
OG0003044||								
OG0005430||								
OG0001267|K00703|glgA; starch synthase [EC:2.4.1.21]			PA			PA	PA	
OG0001084|K07068|uncharacterized protein			PA			PA	PA	
OG0006895||								
OG0001415|K18842|chpS; antitoxin ChpS			PA					
OG0002630|K00305|soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.1]		PA	PA				PA	
OG0002392|K00302|soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.1]		PA	PA				PA	PA
OG0002631|K00304|soxD; sarcosine oxidase, subunit delta [EC:1.5.3.1]		PA	PA				PA	
OG0005426||								
OG0004095|K13688|chvB; cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]			PA			PA	PA	
OG0006939||								
OG0002570||								
OG0000013|K02529|lacI; LacI family transcriptional regulator	PA	PA	PA	PA	PA	PA	PA	PA
OG0002463|K05936|cobM; precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]			PA					
OG0004243|K01470|E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]		PA	PA	PA				
OG0005404||								
OG0003061|K13653|AraC family transcriptional regulator		PA	PA			PA	PA	
OG0003003|K01581|E4.1.1.17; ornithine decarboxylase [EC:4.1.1.17]	PA	PA						
OG0006896||								
OG0003790|K08970|rcnA; nickel/cobalt exporter			PA			PA		
OG0004105||								
OG0004330||								
OG0006856||								
OG0002478|K00595|cobL; precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]	PA		PA					
OG0005427||								
OG0003641||								
OG0000586|K03817|rimL; ribosomal-protein-serine acetyltransferase [EC:2.3.1.-]			PA				PA	
OG0002477|K05895|cobK-cbiJ; precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]			PA					
OG0001776||								
OG0003683|K01768|E4.6.1.1; adenylate cyclase [EC:4.6.1.1]			PA	PA		PA		
OG0002481|K13541|cbiGH-cobJ; cobalt-precorrin 5A hydrolase / precorrin-3B C17-methyltransferase [EC:3.7.1.12 2.1.1.131]		PA	PA				PA	
OG0002457|K02529|lacI; LacI family transcriptional regulator	PA	PA	PA	PA	PA	PA	PA	PA
OG0002480|K03394|cobI-cbiL; precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]			PA				PA	
OG0004100||								
OG0002479|K06042|cobH-cbiC; precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]			PA				PA	
OG0001540||								
OG0003668||								
OG0005343||								
OG0002732|K02229|cobG; precorrin-3B synthase [EC:1.14.13.83]			PA				PA	
OG0001530|K02012|afuA; iron(III) transport system substrate-binding protein		PA	PA					
OG0004529|K07120|uncharacterized protein		PA	PA					
OG0000153|K05846|opuBD; osmoprotectant transport system permease protein			PA		PA	PA	PA	
OG0003029|K02230|cobN; cobaltochelatase CobN [EC:6.6.1.2]	PA		PA			PA		
OG0002653|K03561|exbB; biopolymer transport protein ExbB			PA			PA		
OG0004134|K06166|phnG; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37]			PA				PA	
OG0004136|K06164|phnI; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI [EC:2.7.8.37]			PA				PA	
OG0004137|K06163|phnJ; alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1]			PA				PA	
OG0004128|K05781|phnK; putative phosphonate transport system ATP-binding protein			PA				PA	
OG0004138|K05780|phnL; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]			PA				PA	
OG0005423||								
OG0003388|K06162|phnM; alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]			PA				PA	
OG0001570|K09975|uncharacterized protein		PA	PA			PA		
OG0002022|K01458|hutG; N-formylglutamate deformylase [EC:3.5.1.68]						PA		
OG0001929|K19221|cobA; cob(I)alamin adenosyltransferase [EC:2.5.1.17]			PA					PA
OG0006864|K00249|ACADM; acyl-CoA dehydrogenase [EC:1.3.8.7]		PA	PA					
OG0001699|K12511|tadC; tight adherence protein C			PA					
OG0002036|K12510|tadB; tight adherence protein B			PA					
OG0006898|K02282|cpaE; pilus assembly protein CpaE	PA		PA					
OG0006899|K02281|cpaD; pilus assembly protein CpaD			PA					
OG0002242|K02280|cpaC; pilus assembly protein CpaC			PA					
OG0002483|K02279|cpaB; pilus assembly protein CpaB	PA		PA	PA				
OG0006900|K02278|cpaA; prepilin peptidase CpaA [EC:3.4.23.43]			PA				PA	
OG0002484|K02651|flp; pilus assembly protein Flp/PilA			PA				PA	
OG0002115|K02227|cbiB; adenosylcobinamide-phosphate synthase [EC:6.3.1.10]			PA			PA		PA
OG0002591|K07401|selenoprotein W-related protein		PA	PA	PA	PA	PA		
OG0002346|K02225|cobC1; cobalamin biosynthetic protein CobC			PA					PA
OG0005209||								
OG0002799|K18334|fucD; L-fuconate dehydratase [EC:4.2.1.68]			PA			PA		PA
OG0002321||								
OG0004046||								
OG0004045||								
OG0001465|K00064|E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	PA	PA	PA		PA	PA		PA
OG0001595|K08738|CYC; cytochrome c			PA		PA			
OG0003999|K07742|ylxR; uncharacterized protein	PA	PA						
OG0002932||								
OG0004877|K04045|hscC; molecular chaperone HscC						PA	PA	
OG0004543||								
OG0005111|K10554|frcA; fructose transport system ATP-binding protein	PA	PA	PA			PA		
OG0006865||								
OG0001829|K13609|dpkA; delta1-piperideine-2-carboxylate reductase [EC:1.5.1.21]			PA			PA	PA	
OG0001453|K00845|glk; glucokinase [EC:2.7.1.2]			PA		PA	PA		
OG0004130|K01734|mgsA; methylglyoxal synthase [EC:4.2.3.3]			PA					
OG0006901|K07261|mepA; penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]			PA					
OG0002431|K01716|fabA; 3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]			PA					
OG0004645|K01839|deoB; phosphopentomutase [EC:5.4.2.7]			PA					PA
OG0001680|K02806|PTS-Ntr-EIIA; PTS system, nitrogen regulatory IIA component [EC:2.7.1.-]			PA					
OG0000643|K06969|rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]						PA		
OG0005395||								
OG0002852|K01759|GLO1; lactoylglutathione lyase [EC:4.4.1.5]			PA		PA		PA	
OG0000702|K01239|iunH; purine nucleosidase [EC:3.2.2.1]	PA		PA			PA	PA	
OG0003934||								
OG0005403|K07025|putative hydrolase of the HAD superfamily			PA			PA		
OG0006866||								
OG0002117|K10942|flrB; two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]								
OG0002093|K12658|lhpA; 4-hydroxyproline epimerase [EC:5.1.1.8]						PA		
OG0001409|K02011|afuB; iron(III) transport system permease protein		PA	PA					
OG0000725|K00574|cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	PA		PA	PA	PA	PA		
OG0002438|K09701|uncharacterized protein					PA	PA		
OG0000019|K03088|rpoE; RNA polymerase sigma-70 factor, ECF subfamily			PA		PA			PA
OG0006902|K07167|chrR; putative transcriptional regulator						PA	PA	PA
OG0002588||								
OG0002390||								
OG0002940|K00459|ncd2; nitronate monooxygenase [EC:1.13.12.16]			PA			PA		
OG0001522|K06195|apaG; ApaG protein			PA					
OG0001982|K06953|uncharacterized protein			PA					
OG0005437||								
OG0005402||								
OG0005429||								
OG0005401||								
OG0004127|K02051|ABC.SN.S; NitT/TauT family transport system substrate-binding protein		PA	PA			PA		
OG0001422|K07667|kdpE; two-component system, OmpR family, KDP operon response regulator KdpE			PA	PA		PA	PA	
OG0005335|K03409|cheX; chemotaxis protein CheX			PA					
OG0000312|K00575|cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]			PA		PA	PA		
OG0000358|K03412|cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]			PA		PA	PA		
OG0002831|K03411|cheD; chemotaxis protein CheD [EC:3.5.1.44]			PA			PA		
OG0002166|K08304|mltA; membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]			PA					PA
OG0002315||								
OG0003134|K01854|glf; UDP-galactopyranose mutase [EC:5.4.99.9]	PA		PA					
OG0001487|K02409|fliF; flagellar M-ring protein FliF	PA		PA			PA		
OG0001493|K02401|flhB; flagellar biosynthetic protein FlhB	PA		PA	PA		PA		
OG0001488|K02410|fliG; flagellar motor switch protein FliG	PA		PA			PA		
OG0002689||								
OG0001490|K02417|fliNY; flagellar motor switch protein FliN/FliY	PA		PA	PA		PA		
OG0001489|K02416|fliM; flagellar motor switch protein FliM	PA		PA			PA		
OG0001839|K02556|motA; chemotaxis protein MotA	PA		PA	PA		PA		
OG0001748|K02391|flgF; flagellar basal-body rod protein FlgF			PA			PA		
OG0001255|K02412|fliI; flagellum-specific ATP synthase [EC:3.6.3.50]	PA		PA			PA		
OG0000788|K02406|fliC; flagellin	PA		PA	PA		PA		
OG0001840|K02557|motB; chemotaxis protein MotB	PA		PA	PA		PA		
OG0006940||								
OG0001601|K02390|flgE; flagellar hook protein FlgE	PA		PA			PA		
OG0001359|K02396|flgK; flagellar hook-associated protein 1 FlgK	PA		PA			PA		
OG0001256|K02420|fliQ; flagellar biosynthetic protein FliQ	PA		PA	PA		PA		
OG0001138|K02400|flhA; flagellar biosynthesis protein FlhA	PA		PA	PA		PA		
OG0001492|K02421|fliR; flagellar biosynthetic protein FliR	PA		PA			PA		
OG0004630|K05973|phaZ; poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75]			PA					
OG0001491|K02419|fliP; flagellar biosynthetic protein FliP	PA		PA			PA		
OG0001930|K02393|flgH; flagellar L-ring protein precursor FlgH			PA			PA		
OG0005398||								
OG0001931|K02394|flgI; flagellar P-ring protein precursor FlgI			PA			PA		
OG0002068|K02386|flgA; flagella basal body P-ring formation protein FlgA			PA			PA		
OG0001253|K02392|flgG; flagellar basal-body rod protein FlgG			PA			PA		
OG0001486|K02408|fliE; flagellar hook-basal body complex protein FliE	PA		PA			PA		
OG0001599|K02388|flgC; flagellar basal-body rod protein FlgC	PA		PA			PA		
OG0001598|K02387|flgB; flagellar basal-body rod protein FlgB	PA		PA			PA		
OG0004646|K02529|lacI; LacI family transcriptional regulator	PA	PA	PA	PA	PA	PA	PA	PA
OG0000160|K11073|potF; putrescine transport system substrate-binding protein			PA			PA		
OG0000199|K11075|potH; putrescine transport system permease protein			PA			PA		
OG0001163|K11074|potI; putrescine transport system permease protein			PA			PA		
OG0004246|K01907|AACS; acetoacetyl-CoA synthetase [EC:6.2.1.16]		PA	PA			PA		
OG0006905||								
OG0005350|K01919|gshA; glutamate--cysteine ligase [EC:6.3.2.2]	PA					PA		
OG0004139||								
OG0006400||								
OG0003101|K11472|glcE; glycolate oxidase FAD binding subunit			PA			PA		
OG0003102|K11473|glcF; glycolate oxidase iron-sulfur subunit			PA			PA		
OG0001236||								
OG0005410|K16898|addA; ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]						PA		
OG0002008|K03592|pmbA; PmbA protein								
OG0004638|K16899|addB; ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]						PA		
OG0002906|K05306|phnX; phosphonoacetaldehyde hydrolase [EC:3.11.1.1]								
OG0001876||								
OG0003662||								
OG0002836|K08989|putative membrane protein			PA				PA	PA
OG0002176|K00883|dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]			PA			PA	PA	PA
OG0001874|K01449|cwlJ; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]								
OG0001689|K20444|rfbC; O-antigen biosynthesis protein [EC:2.4.1.-]								
OG0001297|K03638|moaB; molybdopterin adenylyltransferase [EC:2.7.7.75]			PA			PA		
OG0002863|K15460|yfiC; tRNA1Val (adenine37-N6)-methyltransferase [EC:2.1.1.223]								
OG0001159|K00479|gbcA; glycine betaine catabolism A		PA	PA				PA	
OG0003184|K02821|PTS-Ula-EIIA; PTS system, ascorbate-specific IIA component [EC:2.7.1.194]								
OG0001248|K16074|zntB; zinc transporter			PA			PA		
OG0003692|K06023|hprK; HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]								
OG0001444|K03602|xseB; exodeoxyribonuclease VII small subunit [EC:3.1.11.6]								
OG0001213|K04768|acuC; acetoin utilization protein AcuC	PA	PA						
OG0003765||								
OG0002006|K03568|tldD; TldD protein								
OG0001590|K01610|E4.1.1.49; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]			PA					
OG0002177|K02258|COX11; cytochrome c oxidase assembly protein subunit 11			PA			PA		
OG0003684||								
OG0002586||								
OG0003822||								
OG0006903||								
OG0001806|K07577|putative mRNA 3-end processing factor			PA		PA	PA	PA	
OG0001805|K10747|LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]			PA		PA	PA	PA	
OG0000439||								
OG0001572|K01419|hslV; ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]								
OG0001691|K03667|hslU; ATP-dependent HslUV protease ATP-binding subunit HslU								
OG0003785||								
OG0000650||								
OG0002464||								
OG0003028||								
OG0003695||								
OG0003294||								
OG0006394||								
OG0003285||								
OG0005432|K01714|dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]			PA			PA		
OG0003639|K07104|catE; catechol 2,3-dioxygenase [EC:1.13.11.2]	PA		PA		PA			
OG0002201|K15012|regA; two-component system, response regulator RegA			PA			PA		
OG0002200|K15011|regB; two-component system, sensor histidine kinase RegB [EC:2.7.13.3]			PA			PA		
OG0001847|K03579|hrpB; ATP-dependent helicase HrpB [EC:3.6.4.13]		PA	PA	PA				
OG0005434||								
OG0005451||								
OG0001726||								
OG0005436||								
OG0003666||								
OG0006906|K03657|uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]								
OG0002898||								
OG0002949||								
OG0002334|K19789|radD; DNA repair protein RadD			PA					
OG0004491|K07316|mod; adenine-specific DNA-methyltransferase [EC:2.1.1.72]			PA			PA	PA	
OG0004146||								
OG0006907||								
OG0001883|K22549|lhpC; D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]								
OG0002968|K06152|E1.1.99.3G; gluconate 2-dehydrogenase gamma chain [EC:1.1.99.3]			PA				PA	
OG0004140|K12941|abgB; aminobenzoyl-glutamate utilization protein B	PA		PA					
OG0000642||								
OG0001916||								
OG0005234||								
OG0003763||								
OG0005352||								
OG0006941|K09136|ycaO; ribosomal protein S12 methylthiotransferase accessory factor	PA	PA	PA					
OG0004647||								
OG0003704||								
OG0006909|K02058|ABC.SS.S; simple sugar transport system substrate-binding protein		PA	PA			PA		
OG0006910|K02057|ABC.SS.P; simple sugar transport system permease protein	PA	PA	PA			PA		
OG0001259|K08482|kaiC; circadian clock protein KaiC			PA		PA	PA	PA	PA
OG0002265|K02050|ABC.SN.P; NitT/TauT family transport system permease protein		PA	PA			PA		PA
OG0002064|K02049|ABC.SN.A; NitT/TauT family transport system ATP-binding protein		PA	PA			PA		PA
OG0001858|K02051|ABC.SN.S; NitT/TauT family transport system substrate-binding protein		PA	PA			PA		
OG0004648||								
OG0002618|K12536|hasD; ATP-binding cassette, subfamily C, bacterial exporter for protease/lipase							PA	
OG0006912||								
OG0004141||								
OG0005442|K01768|E4.6.1.1; adenylate cyclase [EC:4.6.1.1]			PA	PA		PA		
OG0003569||								
OG0002164|K21833|dgcA; dimethylglycine catabolism A								
OG0006914||								
OG0003834||								
OG0003098|K06978|uncharacterized protein			PA		PA	PA		
OG0005446||								
OG0000526||								
OG0005439|K00681|ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]		PA	PA					
OG0003055||								
OG0002961||								
OG0001477||								
OG0001951|K21470|ycbB; L,D-transpeptidase YcbB								
OG0002720||								
OG0002264||								
OG0004649|K00124|fdoH; formate dehydrogenase iron-sulfur subunit	PA		PA					PA
OG0004650|K00126|fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]			PA				PA	
OG0006916|K07126|uncharacterized protein		PA	PA					
OG0004065|K06076|fadL; long-chain fatty acid transport protein			PA					
OG0004582||								
OG0002911|K17324|glpS; glycerol transport system ATP-binding protein			PA			PA	PA	
OG0002912|K17325|glpT; glycerol transport system ATP-binding protein			PA			PA	PA	
OG0002913|K17323|glpQ; glycerol transport system permease protein			PA			PA	PA	
OG0002914||								
OG0002915|K17321|glpV; glycerol transport system substrate-binding protein			PA			PA	PA	
OG0002218|K02002|proX; glycine betaine/proline transport system substrate-binding protein			PA			PA	PA	
OG0004657||								
OG0003190||								
OG0002354|K02004|ABC.CD.P; putative ABC transport system permease protein			PA		PA	PA		
OG0006917||								
OG0002154|K03919|alkB; DNA oxidative demethylase [EC:1.14.11.33]	PA	PA	PA			PA	PA	PA
OG0005441||								
OG0005190|K22186|xylD; xylonate dehydratase [EC:4.2.1.82]								
OG0001332|K19776|dgoR; GntR family transcriptional regulator, galactonate operon transcriptional repressor								
OG0001639|K14160|imuA; protein ImuA			PA		PA	PA		
OG0005355||								
OG0004623|K00297|metF; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]		PA	PA					
OG0003526|K00820|glmS; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]								
OG0004142||								
OG0004131|K03291|MFS.SET; MFS transporter, SET family, sugar efflux transporter			PA			PA		
OG0006871||								
OG0004651|K00720|UGCG; ceramide glucosyltransferase [EC:2.4.1.80]			PA					PA
OG0001892|K03931|ygjK; putative isomerase			PA					
OG0006918||								
OG0003197|K02016|ABC.FEV.S; iron complex transport system substrate-binding protein	PA	PA				PA		PA
OG0002672|K01738|cysK; cysteine synthase [EC:2.5.1.47]			PA					
OG0000622||								
OG0002489|K17315|gtsA; glucose/mannose transport system substrate-binding protein			PA			PA		
OG0006919|K10439|rbsB; ribose transport system substrate-binding protein		PA	PA			PA	PA	
OG0006920|K16563|exoV; succinoglycan biosynthesis protein ExoV			PA					PA
OG0002330|K16559|exoK; endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]			PA					
OG0001511|K03168|topA; DNA topoisomerase I [EC:5.99.1.2]						PA		
OG0005207|K21062|lhpC; 1-pyrroline-4-hydroxy-2-carboxylate deaminase [EC:3.5.4.22]								
